position_filter,position_label,prompt_category,metric,estimate,ci95_low,ci95_high,n_records,n_prompt_clusters,reportable
step_ge10,positions >=10,CONTENT-FACT,interaction,0.18629807692307693,0.11775841346153847,0.2608173076923077,52,52,True
step_ge10,positions >=10,CONTENT-FACT,late_given_pt,0.3269230769230769,0.22716346153846154,0.4387319711538457,52,52,True
step_ge10,positions >=10,CONTENT-FACT,late_given_it,0.5132211538461539,0.39299879807692306,0.6466346153846154,52,52,True
step_ge10,positions >=10,CONTENT-REASON,interaction,2.287109375,1.0703125,3.732568359374998,32,32,True
step_ge10,positions >=10,CONTENT-REASON,late_given_pt,2.142578125,1.076123046875,3.373046875,32,32,True
step_ge10,positions >=10,CONTENT-REASON,late_given_it,4.4296875,3.0,6.015722656249999,32,32,True
step_ge10,positions >=10,GOV-CONV,interaction,0.7330729166666666,0.33720703125,1.2265625,48,48,True
step_ge10,positions >=10,GOV-CONV,late_given_pt,0.6575520833333334,0.3619791666666667,0.96875,48,48,True
step_ge10,positions >=10,GOV-CONV,late_given_it,1.390625,0.9791666666666666,1.8671875,48,48,True
step_ge10,positions >=10,GOV-FORMAT,interaction,1.8289473684210527,,,19,19,False
step_ge10,positions >=10,GOV-FORMAT,late_given_pt,0.8092105263157895,,,19,19,False
step_ge10,positions >=10,GOV-FORMAT,late_given_it,2.638157894736842,,,19,19,False
step_ge10,positions >=10,GOV-REGISTER,interaction,0.109375,-0.0125,0.228125,40,40,True
step_ge10,positions >=10,GOV-REGISTER,late_given_pt,0.628125,0.3625,0.91875,40,40,True
step_ge10,positions >=10,GOV-REGISTER,late_given_it,0.7375,0.453125,1.021875,40,40,True
step_ge10,positions >=10,SAFETY,interaction,1.4828125,,,20,20,False
step_ge10,positions >=10,SAFETY,late_given_pt,1.1625,,,20,20,False
step_ge10,positions >=10,SAFETY,late_given_it,2.6453125,,,20,20,False
