condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_beta_0.25,exp3_alignment_behavior,behavior_match,0.53,100,A2,directional_add,1.0,0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-3,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,-3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_0.5,exp3_alignment_behavior,behavior_match,0.52,100,A2,directional_add,1.0,0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-2,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,-2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-1,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,-1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_1.5,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,1.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b1,exp3_alignment_behavior,behavior_match,0.49,100,A2,directional_rotated,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.75,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,-0.75,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_2,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,2.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b3,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_rotated,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.5,exp3_alignment_behavior,behavior_match,0.49,100,A2,directional_add,1.0,-0.5,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_3,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b0,exp3_alignment_behavior,behavior_match,0.5,100,A2,content_direction,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_-0.25,exp3_alignment_behavior,behavior_match,0.49,100,A2,directional_add,1.0,-0.25,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_beta_5,exp3_alignment_behavior,behavior_match,0.5,100,A2,directional_add,1.0,5.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b1,exp3_alignment_behavior,behavior_match,0.5,100,A2,content_direction,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
