model,cell,readout,metric,n,mean,median,p05,p95
mistral_7b,U_IT__L_PT,common_pt,top5_churn,597,0.36820234328609536,0.35714285714285715,0.2031746031746032,0.5615079365079365
mistral_7b,U_IT__L_PT,common_pt,top_choice_pt_rate,597,0.19430485762144054,116,,
mistral_7b,U_IT__L_PT,common_pt,top_choice_it_rate,597,0.5644891122278057,337,,
mistral_7b,U_IT__L_PT,common_pt,top_choice_other_rate,597,0.24120603015075376,144,,
mistral_7b,U_IT__L_IT,common_it,it_vs_pt_margin,597,4.570116206030151,3.5,0.1875,11.837499999999991
mistral_7b,U_IT__L_IT,common_it,it_rank,597,1.0067001675041876,1.0,1.0,1.0
mistral_7b,U_IT__L_IT,common_it,pt_rank,597,38.08040201005025,5.0,2.0,139.79999999999632
mistral_7b,U_IT__L_IT,common_it,late_kl_mean,597,3.2319668929849636,3.5158222573144093,0.5407009184360504,5.659935256413052
mistral_7b,U_IT__L_IT,common_it,remaining_adj_js,597,0.3362407747628457,0.32420451380312443,0.09896746091544628,0.6257108829915524
mistral_7b,U_IT__L_IT,common_it,future_top1_flips,597,1.2537688442211055,1.1666666666666667,0.0,2.6666666666666665
mistral_7b,U_IT__L_IT,common_it,top5_churn,597,0.36851032056224686,0.35714285714285715,0.16666666666666666,0.5615079365079365
mistral_7b,U_IT__L_IT,common_it,top_choice_pt_rate,597,0.010050251256281407,6,,
mistral_7b,U_IT__L_IT,common_it,top_choice_it_rate,597,0.983249581239531,587,,
mistral_7b,U_IT__L_IT,common_it,top_choice_other_rate,597,0.006700167504187605,4,,
mistral_7b,U_IT__L_IT,common_pt,it_vs_pt_margin,597,4.4982726130653266,3.4375,0.125,11.756249999999998
mistral_7b,U_IT__L_IT,common_pt,it_rank,597,1.0385259631490786,1.0,1.0,1.0
mistral_7b,U_IT__L_IT,common_pt,pt_rank,597,38.438860971524285,5.0,2.0,149.19999999999686
mistral_7b,U_IT__L_IT,common_pt,late_kl_mean,597,3.2189022607909825,3.486457211630685,0.5287814551166126,5.632136219314165
mistral_7b,U_IT__L_IT,common_pt,remaining_adj_js,597,0.338253491430295,0.3217031729097168,0.10052546557659904,0.6278813083966571
mistral_7b,U_IT__L_IT,common_pt,future_top1_flips,597,1.2702400893355665,1.1666666666666667,0.0,2.6666666666666665
mistral_7b,U_IT__L_IT,common_pt,top5_churn,597,0.36990951228807173,0.36111111111111116,0.16666666666666666,0.5760582010582006
mistral_7b,U_IT__L_IT,common_pt,top_choice_pt_rate,597,0.018425460636515914,11,,
mistral_7b,U_IT__L_IT,common_pt,top_choice_it_rate,597,0.9396984924623115,561,,
mistral_7b,U_IT__L_IT,common_pt,top_choice_other_rate,597,0.04187604690117253,25,,
olmo2_7b,U_PT__L_PT,common_it,it_vs_pt_margin,586,-1.9381956289245814,-1.4619140625,-5.8101806640625,0.2175750732421875
olmo2_7b,U_PT__L_PT,common_it,it_rank,586,333.39590443686006,5.0,1.0,116.5
olmo2_7b,U_PT__L_PT,common_it,pt_rank,586,1.6604095563139931,1.0,1.0,4.0
olmo2_7b,U_PT__L_PT,common_it,late_kl_mean,586,2.410114914882221,2.301360798733575,0.6468198373913765,4.11931118182838
olmo2_7b,U_PT__L_PT,common_it,remaining_adj_js,586,0.3759247107088958,0.37072283192537725,0.1619879942324284,0.5966566698625684
olmo2_7b,U_PT__L_PT,common_it,future_top1_flips,586,1.4129692832764504,1.5,0.0,2.6666666666666665
