condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A2_ctrl_content_b3,exp3_alignment_behavior,behavior_match,0.5,150,A2,content_direction,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b3,exp3_reasoning_em,contains_em,0.0,200,A2,content_direction,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b3,format_compliance_v2,compliance_rate,0.31868131868131866,182,A2,content_direction,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b3,mmlu_forced_choice,accuracy,0.27,300,A2,content_direction,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_content_b3,structural_token_ratio,ratio,0.0,1400,A2,content_direction,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,exp3_alignment_behavior,behavior_match,0.5266666666666666,150,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,exp3_reasoning_em,contains_em,0.235,200,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,format_compliance_v2,compliance_rate,0.26136363636363635,176,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,mmlu_forced_choice,accuracy,0.48,300,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b0,structural_token_ratio,ratio,0.0242737022424762,1400,A2,directional_random,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,exp3_alignment_behavior,behavior_match,0.5066666666666667,150,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,exp3_reasoning_em,contains_em,0.04,200,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,format_compliance_v2,compliance_rate,0.26519337016574585,181,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,mmlu_forced_choice,accuracy,0.22666666666666666,300,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b1,structural_token_ratio,ratio,0.0333382699794678,1400,A2,directional_random,1.0,1.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,exp3_alignment_behavior,behavior_match,0.49333333333333335,150,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,exp3_reasoning_em,contains_em,0.0,200,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,format_compliance_v2,compliance_rate,0.24157303370786518,178,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,mmlu_forced_choice,accuracy,0.11333333333333333,300,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_random_b3,structural_token_ratio,ratio,0.11637499184380114,1400,A2,directional_random,1.0,3.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A2_ctrl_rotated_b0,exp3_alignment_behavior,behavior_match,0.5266666666666666,150,A2,directional_rotated,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
