level,model,pipeline,side,host_variant,donor_variant,baseline_pipeline,window_name,start_layer,end_layer_exclusive,width,center,region,metric,estimate,ci95_low,ci95_high,n_pairs,n_prompt_clusters,n_models,models
model,llama31_8b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,graft_window,kl_to_own_final,-0.056908240942472293,-0.07086806047891796,-0.042238836673476284,41470,600,,
model,llama31_8b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,final_20pct,kl_to_own_final,-0.0712457745143733,-0.08050941839604281,-0.06218273472997071,41470,600,,
model,llama31_8b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,graft_window,kl_to_own_final,-0.045064021278267176,-0.06641944568453578,-0.02387351250562855,41470,600,,
model,llama31_8b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,final_20pct,kl_to_own_final,-0.05612278887428887,-0.06952834831638942,-0.043060183545711596,41470,600,,
model,llama31_8b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,graft_window,kl_to_own_final,-0.09730624745164142,-0.10709268145962099,-0.08758631056482216,41470,600,,
model,llama31_8b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,-0.17737063418332522,-0.19448218454979027,-0.16281041741730734,41470,600,,
model,llama31_8b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,-0.45252056305657673,-0.47381872620774523,-0.43144884757511487,41470,600,,
model,llama31_8b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,19,26,7,22.0,final_20pct,kl_to_own_final,-0.1598936033568039,-0.17372201468812978,-0.1465428464278633,41470,600,,
model,llama31_8b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,19,26,7,22.0,graft_window,kl_to_own_final,-0.5154891782097685,-0.5355211113978449,-0.49438258482645636,41470,600,,
model,llama31_8b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,19,32,13,25.0,final_20pct,kl_to_own_final,-0.27251206614164775,-0.2953278135232317,-0.2508313696563552,41470,600,,
model,llama31_8b,D_lws_late_full_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_full,19,32,13,25.0,graft_window,kl_to_own_final,-0.6386046474456027,-0.6738006713865791,-0.6009069332721279,41470,600,,
model,llama31_8b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,25,32,7,28.0,final_20pct,kl_to_own_final,-0.18757960867682397,-0.20626997609235273,-0.17072526146798392,41470,600,,
model,llama31_8b,D_lws_late_terminal_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_terminal_half,25,32,7,28.0,graft_window,kl_to_own_final,-0.18757960867682397,-0.20557466467591812,-0.17048866140847635,41470,600,,
model,llama31_8b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,12,19,7,15.0,final_20pct,kl_to_own_final,-0.2701881697921089,-0.29103014924404835,-0.24997187938550425,41470,600,,
model,llama31_8b,D_lws_prelate_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,prelate_half,12,19,7,15.0,graft_window,kl_to_own_final,-0.6994382859333482,-0.7403817365557456,-0.6584159228757379,41470,600,,
model,llama31_8b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,28,32,4,29.5,final_20pct,kl_to_own_final,-0.14285300461756037,-0.15753174962952313,-0.12974237000304176,41470,600,,
model,llama31_8b,D_lws_terminal_quarter_ptswap,pt_swap_into_it,it,pt,C_it_chat,terminal_quarter,28,32,4,29.5,graft_window,kl_to_own_final,-0.03213849557889938,-0.042930081090787525,-0.021960062397038745,41470,600,,
model,mistral_7b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,0.06615062442370645,0.06272407492349936,0.06949359330568498,65388,600,,
model,mistral_7b,B_lws_late_center_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,0.14848781828479926,0.1418511313984309,0.15517016726073457,65388,600,,
model,mistral_7b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,final_20pct,kl_to_own_final,0.0573608441270937,0.05485756312366991,0.06002901879762899,65388,600,,
model,mistral_7b,B_lws_late_front_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_front_half,19,26,7,22.0,graft_window,kl_to_own_final,0.20384450480482486,0.19629597322205214,0.21199916083181333,65388,600,,
model,mistral_7b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,final_20pct,kl_to_own_final,0.12759555810746784,0.12029079610049041,0.13537744540655192,65388,600,,
model,mistral_7b,B_lws_late_full_raw,it_graft_into_pt,pt,it,A_prime_raw,late_full,19,32,13,25.0,graft_window,kl_to_own_final,0.2946021230850697,0.2798273832922337,0.30920163410422385,65388,600,,
model,mistral_7b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,final_20pct,kl_to_own_final,0.07581526555673129,0.07016933916551621,0.0813605992149204,65388,600,,
model,mistral_7b,B_lws_late_terminal_half_raw,it_graft_into_pt,pt,it,A_prime_raw,late_terminal_half,25,32,7,28.0,graft_window,kl_to_own_final,0.07581526555673129,0.07052283464030623,0.08144349302495203,65388,600,,
model,mistral_7b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,final_20pct,kl_to_own_final,0.03960189154863499,0.03479262210084417,0.0445737174689498,65388,600,,
model,mistral_7b,B_lws_prelate_half_raw,it_graft_into_pt,pt,it,A_prime_raw,prelate_half,12,19,7,15.0,graft_window,kl_to_own_final,0.3141008229317013,0.2984471874641765,0.3297296190669442,65388,600,,
model,mistral_7b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,final_20pct,kl_to_own_final,0.04153869890056264,0.03755718653203681,0.0454579335386651,65388,600,,
model,mistral_7b,B_lws_terminal_quarter_raw,it_graft_into_pt,pt,it,A_prime_raw,terminal_quarter,28,32,4,29.5,graft_window,kl_to_own_final,0.011624062133050256,0.009831191301728619,0.013411152026523775,65388,600,,
model,mistral_7b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,final_20pct,kl_to_own_final,-0.313183573126259,-0.32023514521738167,-0.30656575700806854,65388,600,,
model,mistral_7b,D_lws_late_center_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_center_half,22,29,7,25.0,graft_window,kl_to_own_final,-0.5565069948503601,-0.5667856426895781,-0.5464770100244974,65388,600,,
model,mistral_7b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,19,26,7,22.0,final_20pct,kl_to_own_final,-0.3042013755413731,-0.3103192586000523,-0.2977503733292798,65388,600,,
model,mistral_7b,D_lws_late_front_half_ptswap,pt_swap_into_it,it,pt,C_it_chat,late_front_half,19,26,7,22.0,graft_window,kl_to_own_final,-0.6209990768988173,-0.6330122725771028,-0.6101720637125516,65388,600,,
