condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randmatched_alpha_1.5,exp3_reasoning_em,contains_em,0.55,200,A1_rand_matched,directional_random_matched,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1.5,format_compliance_v2,compliance_rate,0.4725274725274725,182,A1_rand_matched,directional_random_matched,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1.5,mmlu_forced_choice,accuracy,0.5,300,A1_rand_matched,directional_random_matched,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_1.5,structural_token_ratio,ratio,0.0504604521447974,1400,A1_rand_matched,directional_random_matched,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_2,exp3_alignment_behavior,behavior_match,0.52,150,A1_rand_matched,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_2,exp3_reasoning_em,contains_em,0.535,200,A1_rand_matched,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_2,format_compliance_v2,compliance_rate,0.44505494505494503,182,A1_rand_matched,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_2,mmlu_forced_choice,accuracy,0.5033333333333333,300,A1_rand_matched,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_2,structural_token_ratio,ratio,0.05069619490898705,1400,A1_rand_matched,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_3,exp3_alignment_behavior,behavior_match,0.5466666666666666,150,A1_rand_matched,directional_random_matched,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_3,exp3_reasoning_em,contains_em,0.25,200,A1_rand_matched,directional_random_matched,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_3,format_compliance_v2,compliance_rate,0.4010989010989011,182,A1_rand_matched,directional_random_matched,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randmatched_alpha_3,mmlu_forced_choice,accuracy,0.48333333333333334,300,A1_rand_matched,directional_random_matched,3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
