condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1randms_s503_alpha_0,exp3_reasoning_em,contains_em,0.565,200,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0,format_compliance_v2,compliance_rate,0.46153846153846156,182,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0,mmlu_forced_choice,accuracy,0.5133333333333333,300,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0,structural_token_ratio,ratio,0.05467610894068326,1400,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0.5,exp3_alignment_behavior,behavior_match,0.54,150,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0.5,exp3_reasoning_em,contains_em,0.56,200,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0.5,format_compliance_v2,compliance_rate,0.47802197802197804,182,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0.5,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_0.5,structural_token_ratio,ratio,0.051053850152432384,1400,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_2,exp3_alignment_behavior,behavior_match,0.5866666666666667,150,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_2,exp3_reasoning_em,contains_em,0.51,200,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_2,format_compliance_v2,compliance_rate,0.4175824175824176,182,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_2,mmlu_forced_choice,accuracy,0.48333333333333334,300,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s503_alpha_2,structural_token_ratio,ratio,0.04914219398649406,1400,A1_rand_matched_multiseed,directional_random_matched,2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_-1,exp3_alignment_behavior,behavior_match,0.6533333333333333,150,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_-1,exp3_reasoning_em,contains_em,0.22,200,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_-1,format_compliance_v2,compliance_rate,0.45054945054945056,182,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_-1,mmlu_forced_choice,accuracy,0.4766666666666667,300,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_-1,structural_token_ratio,ratio,0.06101119493209014,1400,A1_rand_matched_multiseed,directional_random_matched,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0,exp3_alignment_behavior,behavior_match,0.6133333333333333,150,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0,exp3_reasoning_em,contains_em,0.47,200,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0,format_compliance_v2,compliance_rate,0.4945054945054945,182,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0,structural_token_ratio,ratio,0.0470771090026949,1400,A1_rand_matched_multiseed,directional_random_matched,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5466666666666666,150,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0.5,exp3_reasoning_em,contains_em,0.49,200,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0.5,format_compliance_v2,compliance_rate,0.4945054945054945,182,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0.5,mmlu_forced_choice,accuracy,0.5133333333333333,300,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_0.5,structural_token_ratio,ratio,0.048512480812165575,1400,A1_rand_matched_multiseed,directional_random_matched,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1randms_s719_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_rand_matched_multiseed,directional_random_matched,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
