layer_range,alpha,benchmark,value,condition
20-31,3.0,format_compliance_v2,0.4065934065934066,A1_alpha_3
20-31,5.0,format_compliance_v2,0.3390804597701149,A1_alpha_5
20-33,-5.0,format_compliance_v2,0.17582417582417584,A1_alpha_-5
20-33,-3.0,format_compliance_v2,0.16483516483516483,A1_alpha_-3
20-33,-2.0,format_compliance_v2,0.18681318681318682,A1_alpha_-2
20-33,-1.0,format_compliance_v2,0.22527472527472528,A1_alpha_-1
20-33,-0.5,format_compliance_v2,0.2032967032967033,A1_alpha_-0.5
20-33,0.0,format_compliance_v2,0.32967032967032966,A1_alpha_0
20-33,0.25,format_compliance_v2,0.4230769230769231,A1_alpha_0.25
20-33,0.5,format_compliance_v2,0.41208791208791207,A1_alpha_0.5
20-33,0.75,format_compliance_v2,0.46153846153846156,A1_alpha_0.75
20-33,1.0,format_compliance_v2,0.4835164835164835,A1_alpha_1
20-33,1.5,format_compliance_v2,0.4340659340659341,A1_alpha_1.5
20-33,2.0,format_compliance_v2,0.44505494505494503,A1_alpha_2
20-33,3.0,format_compliance_v2,0.38461538461538464,A1_alpha_3
20-33,5.0,format_compliance_v2,0.3333333333333333,A1_alpha_5
22-33,-5.0,format_compliance_v2,0.15934065934065933,A1_alpha_-5
22-33,-3.0,format_compliance_v2,0.25274725274725274,A1_alpha_-3
22-33,-2.0,format_compliance_v2,0.24861878453038674,A1_alpha_-2
22-33,-1.0,format_compliance_v2,0.25274725274725274,A1_alpha_-1
22-33,-0.5,format_compliance_v2,0.2802197802197802,A1_alpha_-0.5
22-33,0.0,format_compliance_v2,0.3791208791208791,A1_alpha_0
22-33,0.25,format_compliance_v2,0.4065934065934066,A1_alpha_0.25
22-33,0.5,format_compliance_v2,0.44505494505494503,A1_alpha_0.5
22-33,0.75,format_compliance_v2,0.44505494505494503,A1_alpha_0.75
22-33,1.0,format_compliance_v2,0.4835164835164835,A1_alpha_1
22-33,1.5,format_compliance_v2,0.46153846153846156,A1_alpha_1.5
22-33,2.0,format_compliance_v2,0.4175824175824176,A1_alpha_2
22-33,3.0,format_compliance_v2,0.4010989010989011,A1_alpha_3
22-33,5.0,format_compliance_v2,0.37209302325581395,A1_alpha_5
18-33,-5.0,mmlu_forced_choice,0.36,A1_alpha_-5
18-33,-3.0,mmlu_forced_choice,0.4033333333333333,A1_alpha_-3
18-33,-2.0,mmlu_forced_choice,0.44,A1_alpha_-2
18-33,-1.0,mmlu_forced_choice,0.49666666666666665,A1_alpha_-1
18-33,-0.5,mmlu_forced_choice,0.52,A1_alpha_-0.5
18-33,0.0,mmlu_forced_choice,0.5266666666666666,A1_alpha_0
18-33,0.25,mmlu_forced_choice,0.54,A1_alpha_0.25
18-33,0.5,mmlu_forced_choice,0.5233333333333333,A1_alpha_0.5
18-33,0.75,mmlu_forced_choice,0.51,A1_alpha_0.75
18-33,1.0,mmlu_forced_choice,0.5066666666666667,A1_alpha_1
18-33,1.5,mmlu_forced_choice,0.49666666666666665,A1_alpha_1.5
18-33,2.0,mmlu_forced_choice,0.5,A1_alpha_2
18-33,3.0,mmlu_forced_choice,0.44,A1_alpha_3
18-33,5.0,mmlu_forced_choice,0.2833333333333333,A1_alpha_5
20-31,-5.0,mmlu_forced_choice,0.4666666666666667,A1_alpha_-5
20-31,-3.0,mmlu_forced_choice,0.4766666666666667,A1_alpha_-3
20-31,-2.0,mmlu_forced_choice,0.5,A1_alpha_-2
20-31,-1.0,mmlu_forced_choice,0.49333333333333335,A1_alpha_-1
20-31,-0.5,mmlu_forced_choice,0.48,A1_alpha_-0.5
20-31,0.0,mmlu_forced_choice,0.49666666666666665,A1_alpha_0
20-31,0.25,mmlu_forced_choice,0.49666666666666665,A1_alpha_0.25
20-31,0.5,mmlu_forced_choice,0.52,A1_alpha_0.5
20-31,0.75,mmlu_forced_choice,0.5133333333333333,A1_alpha_0.75
20-31,1.0,mmlu_forced_choice,0.5066666666666667,A1_alpha_1
20-31,1.5,mmlu_forced_choice,0.49666666666666665,A1_alpha_1.5
20-31,2.0,mmlu_forced_choice,0.5033333333333333,A1_alpha_2
20-31,3.0,mmlu_forced_choice,0.48333333333333334,A1_alpha_3
20-31,5.0,mmlu_forced_choice,0.44,A1_alpha_5
20-33,-5.0,mmlu_forced_choice,0.45,A1_alpha_-5
20-33,-3.0,mmlu_forced_choice,0.49,A1_alpha_-3
20-33,-2.0,mmlu_forced_choice,0.49,A1_alpha_-2
20-33,-1.0,mmlu_forced_choice,0.48,A1_alpha_-1
20-33,-0.5,mmlu_forced_choice,0.48333333333333334,A1_alpha_-0.5
20-33,0.0,mmlu_forced_choice,0.49666666666666665,A1_alpha_0
20-33,0.25,mmlu_forced_choice,0.5066666666666667,A1_alpha_0.25
20-33,0.5,mmlu_forced_choice,0.5133333333333333,A1_alpha_0.5
20-33,0.75,mmlu_forced_choice,0.5033333333333333,A1_alpha_0.75
20-33,1.0,mmlu_forced_choice,0.5066666666666667,A1_alpha_1
