condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1formula_residual_proj_remove_alpha_0,format_compliance_v2,compliance_rate,0.21656050955414013,157,A1_formula,directional_remove_residual,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0,mmlu_forced_choice,accuracy,0.023333333333333334,300,A1_formula,directional_remove_residual,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0,structural_token_ratio,ratio,0.028214285714285713,1400,A1_formula,directional_remove_residual,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5,150,A1_formula,directional_remove_residual,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0.5,exp3_reasoning_em,contains_em,0.0,200,A1_formula,directional_remove_residual,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0.5,format_compliance_v2,compliance_rate,0.13714285714285715,175,A1_formula,directional_remove_residual,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0.5,mmlu_forced_choice,accuracy,0.20333333333333334,300,A1_formula,directional_remove_residual,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_0.5,structural_token_ratio,ratio,0.0061428153398520495,1400,A1_formula,directional_remove_residual,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_formula,directional_remove_residual,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_formula,directional_remove_residual,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,directional_remove_residual,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_formula,directional_remove_residual,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1_formula,directional_remove_residual,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1.5,exp3_alignment_behavior,behavior_match,0.5,150,A1_formula,directional_remove_residual,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1.5,exp3_reasoning_em,contains_em,0.015,200,A1_formula,directional_remove_residual,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1.5,format_compliance_v2,compliance_rate,0.3092105263157895,152,A1_formula,directional_remove_residual,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_residual_proj_remove_alpha_1.5,mmlu_forced_choice,accuracy,0.04,300,A1_formula,directional_remove_residual,1.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
