model,model_label,variant,layer,n_layers,normalized_depth,mean_delta_cosine
olmo2_7b,OLMo 2 7B,pt,26,32,0.8387,0.095286
olmo2_7b,OLMo 2 7B,pt,27,32,0.871,0.076985
olmo2_7b,OLMo 2 7B,pt,28,32,0.9032,0.059883
olmo2_7b,OLMo 2 7B,pt,29,32,0.9355,0.074163
olmo2_7b,OLMo 2 7B,pt,30,32,0.9677,0.114121
olmo2_7b,OLMo 2 7B,pt,31,32,1.0,0.171008
olmo2_7b,OLMo 2 7B,it,0,32,0.0,nan
olmo2_7b,OLMo 2 7B,it,1,32,0.0323,-0.030753
olmo2_7b,OLMo 2 7B,it,2,32,0.0645,0.02685
olmo2_7b,OLMo 2 7B,it,3,32,0.0968,0.048763
olmo2_7b,OLMo 2 7B,it,4,32,0.129,-0.010851
olmo2_7b,OLMo 2 7B,it,5,32,0.1613,-0.055684
olmo2_7b,OLMo 2 7B,it,6,32,0.1935,-0.074848
olmo2_7b,OLMo 2 7B,it,7,32,0.2258,-0.084601
olmo2_7b,OLMo 2 7B,it,8,32,0.2581,-0.075425
olmo2_7b,OLMo 2 7B,it,9,32,0.2903,-0.10095
olmo2_7b,OLMo 2 7B,it,10,32,0.3226,-0.118183
olmo2_7b,OLMo 2 7B,it,11,32,0.3548,-0.097046
olmo2_7b,OLMo 2 7B,it,12,32,0.3871,-0.103398
olmo2_7b,OLMo 2 7B,it,13,32,0.4194,-0.094978
olmo2_7b,OLMo 2 7B,it,14,32,0.4516,-0.078138
olmo2_7b,OLMo 2 7B,it,15,32,0.4839,-0.01705
olmo2_7b,OLMo 2 7B,it,16,32,0.5161,0.009922
olmo2_7b,OLMo 2 7B,it,17,32,0.5484,0.009146
olmo2_7b,OLMo 2 7B,it,18,32,0.5806,0.034605
olmo2_7b,OLMo 2 7B,it,19,32,0.6129,0.030204
olmo2_7b,OLMo 2 7B,it,20,32,0.6452,0.04653
olmo2_7b,OLMo 2 7B,it,21,32,0.6774,0.030224
olmo2_7b,OLMo 2 7B,it,22,32,0.7097,0.089215
olmo2_7b,OLMo 2 7B,it,23,32,0.7419,0.076011
olmo2_7b,OLMo 2 7B,it,24,32,0.7742,0.080491
olmo2_7b,OLMo 2 7B,it,25,32,0.8065,0.092729
olmo2_7b,OLMo 2 7B,it,26,32,0.8387,0.098465
olmo2_7b,OLMo 2 7B,it,27,32,0.871,0.076447
olmo2_7b,OLMo 2 7B,it,28,32,0.9032,0.054374
olmo2_7b,OLMo 2 7B,it,29,32,0.9355,0.074303
olmo2_7b,OLMo 2 7B,it,30,32,0.9677,0.061095
olmo2_7b,OLMo 2 7B,it,31,32,1.0,-0.121716
