model,model_label,layer,n_layers,normalized_depth,delta_attn_raw,delta_mlp_raw,delta_attn_norm,delta_mlp_norm,phase_boundary_layer,corrective_onset_layer
olmo2_7b,OLMo 2 7B,0,32,0.0,0.000965,0.001254,0.77131,0.917271,11,19
olmo2_7b,OLMo 2 7B,1,32,0.0323,0.001129,0.00122,0.902743,0.892552,11,19
olmo2_7b,OLMo 2 7B,2,32,0.0645,0.001156,0.001252,0.924162,0.916175,11,19
olmo2_7b,OLMo 2 7B,3,32,0.0968,0.001203,0.001289,0.961746,0.943418,11,19
olmo2_7b,OLMo 2 7B,4,32,0.129,0.001163,0.001321,0.929434,0.966355,11,19
olmo2_7b,OLMo 2 7B,5,32,0.1613,0.001173,0.001327,0.93808,0.970911,11,19
olmo2_7b,OLMo 2 7B,6,32,0.1935,0.001182,0.001335,0.945228,0.976885,11,19
olmo2_7b,OLMo 2 7B,7,32,0.2258,0.001178,0.001343,0.941501,0.982415,11,19
olmo2_7b,OLMo 2 7B,8,32,0.2581,0.001175,0.001357,0.939588,0.992649,11,19
olmo2_7b,OLMo 2 7B,9,32,0.2903,0.001173,0.001365,0.937721,0.998907,11,19
olmo2_7b,OLMo 2 7B,10,32,0.3226,0.001251,0.001374,1.000371,1.00539,11,19
olmo2_7b,OLMo 2 7B,11,32,0.3548,0.001245,0.001383,0.995086,1.011962,11,19
olmo2_7b,OLMo 2 7B,12,32,0.3871,0.001251,0.001393,1.000095,1.018951,11,19
olmo2_7b,OLMo 2 7B,13,32,0.4194,0.001288,0.001399,1.029855,1.023383,11,19
olmo2_7b,OLMo 2 7B,14,32,0.4516,0.001265,0.001399,1.011204,1.023435,11,19
olmo2_7b,OLMo 2 7B,15,32,0.4839,0.001288,0.0014,1.029639,1.024342,11,19
olmo2_7b,OLMo 2 7B,16,32,0.5161,0.001275,0.001407,1.019665,1.029112,11,19
olmo2_7b,OLMo 2 7B,17,32,0.5484,0.001298,0.001411,1.03749,1.032314,11,19
olmo2_7b,OLMo 2 7B,18,32,0.5806,0.001282,0.00141,1.02531,1.031769,11,19
olmo2_7b,OLMo 2 7B,19,32,0.6129,0.001311,0.001406,1.048491,1.028773,11,19
olmo2_7b,OLMo 2 7B,20,32,0.6452,0.001284,0.001396,1.026165,1.021496,11,19
olmo2_7b,OLMo 2 7B,21,32,0.6774,0.001329,0.001398,1.062602,1.022682,11,19
olmo2_7b,OLMo 2 7B,22,32,0.7097,0.001327,0.001397,1.060658,1.02228,11,19
olmo2_7b,OLMo 2 7B,23,32,0.7419,0.001329,0.001406,1.062442,1.028824,11,19
olmo2_7b,OLMo 2 7B,24,32,0.7742,0.001365,0.001408,1.091261,1.030419,11,19
olmo2_7b,OLMo 2 7B,25,32,0.8065,0.001325,0.001414,1.05915,1.034679,11,19
olmo2_7b,OLMo 2 7B,26,32,0.8387,0.001344,0.001421,1.074158,1.039326,11,19
olmo2_7b,OLMo 2 7B,27,32,0.871,0.001333,0.001421,1.065827,1.039646,11,19
olmo2_7b,OLMo 2 7B,28,32,0.9032,0.001336,0.00141,1.068506,1.03151,11,19
olmo2_7b,OLMo 2 7B,29,32,0.9355,0.001284,0.001387,1.026506,1.014784,11,19
olmo2_7b,OLMo 2 7B,30,32,0.9677,0.001271,0.001344,1.016526,0.983599,11,19
olmo2_7b,OLMo 2 7B,31,32,1.0,0.001248,0.00129,0.997478,0.943784,11,19
