model,model_label,variant,layer,n_layers,normalized_depth,intrinsic_dim,ci_low,ci_high
qwen3_4b,Qwen 3 4B,it,2,36,0.0571,14.0519,nan,nan
qwen3_4b,Qwen 3 4B,it,3,36,0.0857,14.8132,nan,nan
qwen3_4b,Qwen 3 4B,it,4,36,0.1143,14.6969,nan,nan
qwen3_4b,Qwen 3 4B,it,5,36,0.1429,14.1011,nan,nan
qwen3_4b,Qwen 3 4B,it,6,36,0.1714,13.6436,nan,nan
qwen3_4b,Qwen 3 4B,it,7,36,0.2,13.7574,nan,nan
qwen3_4b,Qwen 3 4B,it,8,36,0.2286,13.7041,nan,nan
qwen3_4b,Qwen 3 4B,it,9,36,0.2571,13.5979,nan,nan
qwen3_4b,Qwen 3 4B,it,10,36,0.2857,13.7065,nan,nan
qwen3_4b,Qwen 3 4B,it,11,36,0.3143,13.8127,nan,nan
qwen3_4b,Qwen 3 4B,it,12,36,0.3429,13.6118,nan,nan
qwen3_4b,Qwen 3 4B,it,13,36,0.3714,13.258,nan,nan
qwen3_4b,Qwen 3 4B,it,14,36,0.4,13.3916,nan,nan
qwen3_4b,Qwen 3 4B,it,15,36,0.4286,13.6846,nan,nan
qwen3_4b,Qwen 3 4B,it,16,36,0.4571,14.174,nan,nan
qwen3_4b,Qwen 3 4B,it,17,36,0.4857,14.3004,nan,nan
qwen3_4b,Qwen 3 4B,it,18,36,0.5143,14.436,nan,nan
qwen3_4b,Qwen 3 4B,it,19,36,0.5429,14.4184,nan,nan
qwen3_4b,Qwen 3 4B,it,20,36,0.5714,13.9898,nan,nan
qwen3_4b,Qwen 3 4B,it,21,36,0.6,14.1115,nan,nan
qwen3_4b,Qwen 3 4B,it,22,36,0.6286,14.4166,nan,nan
qwen3_4b,Qwen 3 4B,it,23,36,0.6571,13.9945,nan,nan
qwen3_4b,Qwen 3 4B,it,24,36,0.6857,14.0693,nan,nan
qwen3_4b,Qwen 3 4B,it,25,36,0.7143,13.8714,nan,nan
qwen3_4b,Qwen 3 4B,it,26,36,0.7429,14.0478,nan,nan
qwen3_4b,Qwen 3 4B,it,27,36,0.7714,14.1514,nan,nan
qwen3_4b,Qwen 3 4B,it,28,36,0.8,14.0117,nan,nan
qwen3_4b,Qwen 3 4B,it,29,36,0.8286,14.3655,nan,nan
qwen3_4b,Qwen 3 4B,it,30,36,0.8571,14.3467,nan,nan
qwen3_4b,Qwen 3 4B,it,31,36,0.8857,15.1338,nan,nan
qwen3_4b,Qwen 3 4B,it,32,36,0.9143,16.0692,nan,nan
qwen3_4b,Qwen 3 4B,it,33,36,0.9429,17.0139,nan,nan
qwen3_4b,Qwen 3 4B,it,34,36,0.9714,17.822,nan,nan
qwen3_4b,Qwen 3 4B,it,35,36,1.0,17.6876,nan,nan
mistral_7b,Mistral 7B v0.3,pt,0,32,0.0,13.282,nan,nan
mistral_7b,Mistral 7B v0.3,pt,1,32,0.0323,14.1697,nan,nan
mistral_7b,Mistral 7B v0.3,pt,2,32,0.0645,13.177,nan,nan
mistral_7b,Mistral 7B v0.3,pt,3,32,0.0968,15.2927,nan,nan
mistral_7b,Mistral 7B v0.3,pt,4,32,0.129,15.1014,nan,nan
mistral_7b,Mistral 7B v0.3,pt,5,32,0.1613,12.6175,nan,nan
mistral_7b,Mistral 7B v0.3,pt,6,32,0.1935,12.351,nan,nan
mistral_7b,Mistral 7B v0.3,pt,7,32,0.2258,12.336,nan,nan
mistral_7b,Mistral 7B v0.3,pt,8,32,0.2581,12.121,nan,nan
mistral_7b,Mistral 7B v0.3,pt,9,32,0.2903,12.4181,nan,nan
mistral_7b,Mistral 7B v0.3,pt,10,32,0.3226,12.909,nan,nan
mistral_7b,Mistral 7B v0.3,pt,11,32,0.3548,13.3467,nan,nan
mistral_7b,Mistral 7B v0.3,pt,12,32,0.3871,13.3047,nan,nan
mistral_7b,Mistral 7B v0.3,pt,13,32,0.4194,13.6627,nan,nan
mistral_7b,Mistral 7B v0.3,pt,14,32,0.4516,14.314,nan,nan
mistral_7b,Mistral 7B v0.3,pt,15,32,0.4839,14.832,nan,nan
mistral_7b,Mistral 7B v0.3,pt,16,32,0.5161,14.354,nan,nan
mistral_7b,Mistral 7B v0.3,pt,17,32,0.5484,14.5445,nan,nan
mistral_7b,Mistral 7B v0.3,pt,18,32,0.5806,14.9831,nan,nan
mistral_7b,Mistral 7B v0.3,pt,19,32,0.6129,15.6639,nan,nan
mistral_7b,Mistral 7B v0.3,pt,20,32,0.6452,15.7196,nan,nan
mistral_7b,Mistral 7B v0.3,pt,21,32,0.6774,16.132,nan,nan
mistral_7b,Mistral 7B v0.3,pt,22,32,0.7097,16.3179,nan,nan
mistral_7b,Mistral 7B v0.3,pt,23,32,0.7419,16.7509,nan,nan
mistral_7b,Mistral 7B v0.3,pt,24,32,0.7742,17.6457,nan,nan
mistral_7b,Mistral 7B v0.3,pt,25,32,0.8065,18.1113,nan,nan
mistral_7b,Mistral 7B v0.3,pt,26,32,0.8387,18.5948,nan,nan
mistral_7b,Mistral 7B v0.3,pt,27,32,0.871,18.6654,nan,nan
mistral_7b,Mistral 7B v0.3,pt,28,32,0.9032,19.0917,nan,nan
mistral_7b,Mistral 7B v0.3,pt,29,32,0.9355,19.5411,nan,nan
mistral_7b,Mistral 7B v0.3,pt,30,32,0.9677,19.8079,nan,nan
mistral_7b,Mistral 7B v0.3,pt,31,32,1.0,19.9726,nan,nan
mistral_7b,Mistral 7B v0.3,it,0,32,0.0,13.3057,nan,nan
mistral_7b,Mistral 7B v0.3,it,1,32,0.0323,14.5177,nan,nan
mistral_7b,Mistral 7B v0.3,it,2,32,0.0645,13.6971,nan,nan
mistral_7b,Mistral 7B v0.3,it,3,32,0.0968,15.1217,nan,nan
mistral_7b,Mistral 7B v0.3,it,4,32,0.129,14.8845,nan,nan
