mode,model,event_kind,effect,metric,n,mean,ci_low,ci_high
native,gemma3_4b,first_nonformat_diff,late_weight_effect:support_pipeline_token,support_pipeline_token,290,-9.35986564664418e-05,-0.00014955484606509134,-4.004171145666997e-05
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:support_pipeline_token,support_pipeline_token,290,-0.00016264488250751215,-0.00022543721433196745,-9.703472990707812e-05
native,gemma3_4b,first_nonformat_diff,late_interaction:support_pipeline_token,support_pipeline_token,290,-0.000333156021944995,-0.0004361200325301128,-0.00023389345943340535
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:support_pipeline_token,support_pipeline_token,290,-0.0002562435389739539,-0.00035037684983807834,-0.0001629241889920728
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:support_pipeline_token,support_pipeline_token,290,7.297935450605572e-05,1.8416796558596235e-05,0.00012721455706457785
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:support_pipeline_token,support_pipeline_token,290,-0.0002601766674389393,-0.00035728366871185495,-0.00016880768933906932
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:support_pipeline_token,support_pipeline_token,290,-5.9625161398807655e-06,-6.084086318394821e-05,5.149479863678879e-05
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:support_pipeline_token,support_pipeline_token,290,0.00012848476324175381,7.108111613489725e-05,0.000187899446289234
native,gemma3_4b,first_nonformat_diff,late_weight_effect:alt_top10_delta,alt_top10_delta,290,-0.00041602524630541876,-0.0005492129772167488,-0.00028670528017241386
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:alt_top10_delta,alt_top10_delta,290,-0.0004991533251231527,-0.0006357854833743843,-0.00036060652709359606
native,gemma3_4b,first_nonformat_diff,late_interaction:alt_top10_delta,alt_top10_delta,290,-0.001010621921182266,-0.0012792872536945812,-0.0007412253694581282
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:alt_top10_delta,alt_top10_delta,290,-0.0009151785714285716,-0.0011168796182266009,-0.0007019512007389165
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:alt_top10_delta,alt_top10_delta,290,8.92857142857143e-05,-6.161483990147786e-05,0.0002294104064039407
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:alt_top10_delta,alt_top10_delta,290,-0.0009213362068965518,-0.0011376616379310347,-0.0007081088362068967
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:alt_top10_delta,alt_top10_delta,290,0.00014624384236453203,-4.656711822660081e-06,0.0002940270935960591
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:alt_top10_delta,alt_top10_delta,290,0.00010467980295566503,-6.313500615763548e-05,0.0002663562192118225
native,gemma3_4b,first_nonformat_diff,late_weight_effect:productive_opposition_rate,productive_opposition_rate,290,0.08682266009852217,0.08004926108374384,0.0939655172413793
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:productive_opposition_rate,productive_opposition_rate,290,0.17992610837438422,0.16995073891625614,0.18965825123152708
native,gemma3_4b,first_nonformat_diff,late_interaction:productive_opposition_rate,productive_opposition_rate,290,0.0751231527093596,0.06157635467980296,0.08867610837438421
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:productive_opposition_rate,productive_opposition_rate,290,0.2667487684729064,0.2541871921182266,0.27956280788177335
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:productive_opposition_rate,productive_opposition_rate,290,0.04926108374384236,0.04064039408866995,0.05812807881773398
native,gemma3_4b,first_nonformat_diff,C_minus_D_late:productive_opposition_rate,productive_opposition_rate,290,0.12438423645320196,0.11378694581280786,0.13522167487684728
native,gemma3_4b,first_nonformat_diff,B_midlate_minus_B_mid:productive_opposition_rate,productive_opposition_rate,290,0.03399014778325123,0.027093596059113302,0.04064039408866995
native,gemma3_4b,first_nonformat_diff,D_midlate_minus_D_mid:productive_opposition_rate,productive_opposition_rate,290,-0.09039408866995075,-0.09852216748768472,-0.08226600985221674
native,gemma3_4b,first_nonformat_diff,late_weight_effect:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,0.0012810686658242065,0.0011926400861496408,0.0013666559042629276
native,gemma3_4b,first_nonformat_diff,upstream_context_effect:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,0.00190840044650685,0.0018168519746989303,0.0020008186934047877
native,gemma3_4b,first_nonformat_diff,late_interaction:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,0.0027199342901923973,0.002546791895912052,0.0028844375422068416
native,gemma3_4b,first_nonformat_diff,pure_IT_minus_PT:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,0.0031894691123310567,0.00301497790572495,0.0033642106419750325
native,gemma3_4b,first_nonformat_diff,B_late_minus_A:margin_writein_it_vs_pt,margin_writein_it_vs_pt,290,-7.889847927199208e-05,-0.00011931843628987594,-3.778904625971624e-05
