mode,model,condition,pt_token_fraction,it_token_fraction,pt_winner_fraction,it_winner_fraction,mid_margin_delta,late_margin_delta
raw_shared,llama31_8b,C_it_chat,0.0,1.0,0.0,0.9966666666666667,0.2174695078531901,4.757613855997722
raw_shared,llama31_8b,D_early_ptswap,0.385,0.3233333333333333,0.39,0.3416666666666667,-1.233219451904297,1.3851849619547527
raw_shared,llama31_8b,D_mid_ptswap,0.3616666666666667,0.3333333333333333,0.365,0.34833333333333333,0.07838981628417968,0.49346583048502607
raw_shared,llama31_8b,D_late_ptswap,0.14333333333333334,0.5683333333333334,0.14833333333333334,0.5833333333333334,0.2174695078531901,2.489062423706055
raw_shared,mistral_7b,A_pt_raw,1.0,0.0,0.9849246231155779,0.008375209380234505,-1.078048488802247,-0.018137562814070352
raw_shared,mistral_7b,B_early_raw,0.5025125628140703,0.34840871021775544,0.5125628140703518,0.35845896147403683,-0.6140614162937081,0.5363267550316687
raw_shared,mistral_7b,B_mid_raw,0.4489112227805695,0.4120603015075377,0.4489112227805695,0.4355108877721943,-0.5474204825396514,0.6469673399549832
raw_shared,mistral_7b,B_late_raw,0.7805695142378559,0.10217755443886097,0.7906197654941374,0.10720268006700168,-1.078048488802247,0.2515965242881072
raw_shared,mistral_7b,C_it_chat,0.0,1.0,0.0033500837520938024,0.9916247906197655,0.12829721473169886,3.772140835198126
raw_shared,mistral_7b,D_early_ptswap,0.2747068676716918,0.5695142378559463,0.2830820770519263,0.5845896147403685,-0.3998364523627251,1.4962222612083858
raw_shared,mistral_7b,D_mid_ptswap,0.36348408710217756,0.48911222780569513,0.37018425460636517,0.49748743718592964,-0.49578203747619937,1.3459823007759337
raw_shared,mistral_7b,D_late_ptswap,0.11390284757118928,0.7403685092127303,0.12060301507537688,0.7906197654941374,0.12829721473169886,2.303776880005496
raw_shared,olmo2_7b,A_pt_raw,1.0,0.0,0.9914965986394558,0.0017006802721088435,-0.5129258551565158,-1.0618124462309337
raw_shared,olmo2_7b,B_early_raw,0.5272108843537415,0.3112244897959184,0.5459183673469388,0.30612244897959184,0.10591042447252338,-0.4434465421300356
raw_shared,olmo2_7b,B_mid_raw,0.4489795918367347,0.34183673469387754,0.4557823129251701,0.34523809523809523,-0.047606507126165896,0.02804731511745323
raw_shared,olmo2_7b,B_late_raw,0.685374149659864,0.1054421768707483,0.7312925170068028,0.11564625850340136,-0.5129258551565158,-0.9488672269444888
raw_shared,olmo2_7b,C_it_chat,0.0,1.0,0.003401360544217687,0.9948979591836735,1.1518991431411432,3.8345916125239157
raw_shared,olmo2_7b,D_early_ptswap,0.1717687074829932,0.6326530612244898,0.17687074829931973,0.6377551020408163,0.5347000952480602,2.0440818111912735
raw_shared,olmo2_7b,D_mid_ptswap,0.18877551020408162,0.608843537414966,0.20238095238095238,0.6207482993197279,0.6803614298502604,1.3151515519537893
raw_shared,olmo2_7b,D_late_ptswap,0.0663265306122449,0.7636054421768708,0.06972789115646258,0.7789115646258503,1.1518991431411432,2.217854915022039
raw_shared,qwen3_4b,A_pt_raw,1.0,0.0,0.9966555183946488,0.0016722408026755853,-0.05198035870108716,-2.8856114416218124
raw_shared,qwen3_4b,B_early_raw,0.6153846153846154,0.11538461538461539,0.6622073578595318,0.12876254180602006,0.2648570083056804,-2.689087067160718
raw_shared,qwen3_4b,B_mid_raw,0.4180602006688963,0.22742474916387959,0.46321070234113715,0.2608695652173913,0.5837676070605632,-1.9262673878749477
raw_shared,qwen3_4b,B_late_raw,0.40301003344481606,0.11371237458193979,0.4866220735785953,0.14381270903010032,-0.05198035870108716,-2.8531072610198054
raw_shared,qwen3_4b,C_it_chat,0.0,1.0,0.0016722408026755853,0.9949832775919732,1.2140377899476118,2.6565707407667487
raw_shared,qwen3_4b,D_early_ptswap,0.22742474916387959,0.451505016722408,0.25418060200668896,0.5100334448160535,0.9243708836992449,1.0991212978809572
raw_shared,qwen3_4b,D_mid_ptswap,0.4280936454849498,0.35785953177257523,0.45484949832775917,0.39464882943143814,0.603805366567146,-0.36826959820495403
raw_shared,qwen3_4b,D_late_ptswap,0.31270903010033446,0.23076923076923078,0.3494983277591973,0.2993311036789298,1.2140377899476118,-0.32790224209278324
